#{"t_start": 1757246473.9678743, "env_id": "None"}
r,l,t
-93.0,18,85.186943
-93.0,18,85.248584
-93.0,18,85.31025
-93.0,18,85.371691
-88.0,18,85.434273
-93.0,18,85.494565
-93.0,18,85.555067
-100.0,18,85.61612
-93.0,18,85.677901
-93.0,18,85.738956
-93.0,18,85.801342
-93.0,18,85.861992
-93.0,18,85.923776
-93.0,18,85.984367
-93.0,18,86.046723
-93.0,18,86.106491
-93.0,18,86.168875
